name,desc,latitude,longitude,color,url
Alpenbirkenzeisig,Samstag 12. November 2022,54.18555555555555,7.878333333333334,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73074456,504
Alpenbirkenzeisig,Samstag 12. November 2022,54.18303260047849,7.88751512106915,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73091161,504
Alpenbirkenzeisig,Freitag 11. November 2022,54.061301817291536,9.752863107792175,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73074399,504
Alpenbirkenzeisige,Donnerstag 10. November 2022,52.11273333333334,10.385,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73048112,504
Alpenbirkenzeisig,Donnerstag 10. November 2022,51.16495555555556,9.115,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73048146,504
Alpenbirkenzeisige,Donnerstag 10. November 2022,54.18444444444444,7.8822222222222225,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73049886,504
Alpenbirkenzeisige,Mittwoch 9. November 2022,52.462978,9.359407,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73020134,504
Alpenbirkenzeisige,Mittwoch 9. November 2022,50.06871111111112,8.876666666666667,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73032915,504
Alpenbirkenzeisig,Dienstag 8. November 2022,52.463227,9.358313,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73002862,504
Alpenbirkenzeisig,Dienstag 8. November 2022,50.685143,8.190975,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73012870,504
Alpenbirkenzeisige,Dienstag 8. November 2022,50.06296666666667,8.878055555555555,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73005173,504
Alpenbirkenzeisige,Montag 7. November 2022,54.06083333333333,9.756944444444445,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73021395,504
Alpenbirkenzeisig,Montag 7. November 2022,52.35638888888889,9.80388888888889,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=72995430,504
Alpenbirkenzeisig,Montag 7. November 2022,50.07653333333334,8.88,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=72999544,504
Alpenbirkenzeisig,Montag 7. November 2022,54.18384444444444,7.8822222222222225,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73001581,504
Alpenbirkenzeisige,Sonntag 6. November 2022,51.40217777777778,9.656944444444445,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=72969892,504
Alpenbirkenzeisige,Sonntag 6. November 2022,47.72745555555556,9.007222222222222,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=72997885,504
Alpenbirkenzeisig,Sonntag 6. November 2022,54.182029,7.888861,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=72962349,504
Alpenbirkenzeisig,Samstag 5. November 2022,53.6174487713662,9.743964097680122,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=72950183,504
Alpenbirkenzeisige,Samstag 5. November 2022,50.375277777777775,8.861944444444443,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=72997656,504
Alpenbirkenzeisig,Samstag 5. November 2022,50.367904,6.60496,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=72935963,504
Alpenbirkenzeisig,Samstag 5. November 2022,48.111958,12.226907,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=72933372,504
Alpenbirkenzeisig,Samstag 5. November 2022,50.726701,12.972087,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=72940539,504
Alpenbirkenzeisige,Samstag 5. November 2022,54.185449,7.883206,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=72933896,504
